eventNm,opar,eventCo,eventStartDate,eventEndDate,eventStartTime,eventEndTime,chrgeInfo,mnnst,auspcInstt,phoneNumber,suprtInstt,seatNumber,admfee,entncAge,dscntInfo,atpn,homepageUrl,advantkInfo,prkplceYn,rdnmadr,lnmadr,latitude,longitude,referenceDate,insttCode
구립교향악단제71회 정기연주회,울산문화예술회관 대공연장,코로나 극복을 위한 힐링음악회,2020-05-19,2020-05-19,16:00,17:30,무료,구립교향악단,울산광역시 남구청,052-226-5415,,250,무료,,,무관중,http://www.ulsannamgu.go.kr,,Y,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.3270779,2021-01-31,3700000
구립교향악단제72회 정기연주회,울산문화예술회관 대공연장,베토벤 탄생 250주년 기념음악회,2020-06-16,2020-06-16,19:30,21:00,무료,구립교향악단,울산광역시 남구청,052-226-5415,,250,무료,,,생활속 거리두기 시행,http://www.ulsannamgu.go.kr,,Y,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.3270779,2021-01-31,3700000
구립교향악단제73회 정기연주회,울산문화예술회관 대공연장,정통클래식과 함께하는 여름나기,2020-07-14,2020-07-14,19:30,21:00,무료,구립교향악단,울산광역시 남구청,052-226-5415,,250,무료,,,코로나19생활속거리두기시행에 따른초대권지참하여 공연관람,http://www.ulsannamgu.go.kr,,Y,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.3270779,2021-01-31,3700000
구립교향악단제74회 정기연주회,울산문화예술회관 대공연장,관현악으로 느끼는 가을의 향기,2020-10-13,2020-10-13,16:00,17:30,무료,구립교향악단,울산광역시 남구청,052-226-5415,,250,무료,,,무관중,http://www.ulsannamgu.go.kr,,Y,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.3270779,2021-01-31,3700000
구립교향악단제74회 정기연주회,울산문화예술회관 대공연장,샌드아트와 함께하는 가족음악회,2020-11-08,2020-11-08,17:30,19:30,무료,구립교향악단,울산광역시 남구청,052-226-5415,,250,무료,,,코로나19생활속거리두기시행에 따른초대권지참하여 공연관람,http://www.ulsannamgu.go.kr,,Y,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.3270779,2021-01-31,3700000
구립교향악단제74회 정기연주회,울산문화예술회관 대공연장,"2020 송년음악회(베토벤, 합창)",2020-12-06,2020-12-06,17:30,19:30,무료,구립교향악단,울산광역시 남구청,052-226-5415,,250,무료,,,무관중,http://www.ulsannamgu.go.kr,,Y,울산광역시 남구 번영로 200,울산광역시 남구 달동 413-13,35.54289852,129.3270779,2021-01-31,3700000
2020 여름맞이 북캉스,다목적실,[공연]쿨쿨 썸머 매직벌룬쇼,2020-07-05,2020-07-05,14:00,14:50,무료,월봉도서관,울산광역시 남구청,052-226-2377,,10,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,N,울산광역시 남구 돋질로 139번길 23,울산광역시 남구 신정동 162-3번지,35.5422963,129.3198911,2021-01-31,3700000
2020 여름맞이 북캉스,야외광장,[공연] 신기한 도서관,2020-07-18,2020-07-18,16:30,17:30,무료,옥현도서관,울산광역시 남구청,052-226-2370,,8,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,N,울산광역시 남구 옥현로58번길 40,울산광역시 남구 무거동 475-1번지,35.5391361825,129.2648784731,2021-01-31,3700000
2020 독서의 달,신복도서관 2층 시청각실,[공연] 책 읽어주는 마술사,2020-09-26,2020-09-26,11:00,12:00,무료,신복도서관,울산광역시 남구청,052-226-2366,,13,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 신복로 72번길 18-13,울산광역시 남구 무거동 814-7번지,35.5513674786,129.2553281869,2021-01-31,3700000
2020 독서의 달,신복도서관 2층 시청각실,[공연] 인형극 초록 코끼리 점보,2020-09-27,2020-09-27,11:00,12:00,무료,신복도서관,울산광역시 남구청,052-226-2366,,13,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 신복로 72번길 18-13,울산광역시 남구 무거동 814-7번지,35.5513674786,129.2553281869,2021-01-31,3700000
2020 독서의 달,2층 시청각실,[공연]스토리텔링 매직벌룬쇼,2020-09-27,2020-09-27,11:00,11:50,무료,도산도서관,울산광역시 남구청,052-226-5712,,10,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 번영로 54번길 6,울산광역시 남구 576-10번지,35.53043776,129.3312217,2021-01-31,3700000
2020 코로나블루 극복하기,2층 시청각실,[공연] 눈과 귀가 열리는 오감 클래식,2020-11-07,2020-11-07,14:00,15:00,무료,신복도서관,울산광역시 남구청,052-226-2366,,13,무료,유아,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 신복로 72번길 18-13,울산광역시 남구 무거동 814-7번지,35.5513674786,129.2553281869,2021-01-31,3700000
2020 코로나블루 극복하기,2층 시청각실,[공연] 와 ~ 뿅뿅마술이다,2020-11-21,2020-11-21,14:00,15:00,무료,신복도서관,울산광역시 남구청,052-226-2366,,13,무료,초등,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 신복로 72번길 18-13,울산광역시 남구 무거동 814-7번지,35.5513674786,129.2553281869,2021-01-31,3700000
2020 독서의 달,신복도서관 2층 시청각실,[공연] 힐링 인형극 달려라 다롱이,2020-09-13,2020-09-13,11:00,12:00,무료,신복도서관,울산광역시 남구청,052-226-2366,,13,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 신복로 72번길 18-13,울산광역시 남구 무거동 814-7번지,35.5513674786,129.2553281869,2021-01-31,3700000
2020 독서의 달,신복도서관 2층 시청각실,[공연] 힐링 인형극 은혜 모르는 호랑이,2020-09-13,2020-09-13,14:00,15:00,무료,신복도서관,울산광역시 남구청,052-226-2366,,13,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 신복로 72번길 18-13,울산광역시 남구 무거동 814-7번지,35.5513674786,129.2553281869,2021-01-31,3700000
2020 독서의 달,도산도서관 2층 시청각실,[공연]모래로 만드는 동화이야기,2020-09-19,2020-09-19,11:00,11:50,무료,도산도서관,울산광역시 남구청,052-226-5712,,10,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 번영로 54번길 6,울산광역시 남구 576-10번지,35.53043776,129.3312217,2021-01-31,3700000
2020 독서의 달,2층 시청각실,[공연]<인형극> 소가 된 게으름벵이,2020-09-20,2020-09-20,10:30,11:30,무료,도산도서관,울산광역시 남구청,052-226-5712,,10,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,Y,울산광역시 남구 번영로 54번길 6,울산광역시 남구 576-10번지,35.53043776,129.3312217,2021-01-31,3700000
2020 독서의 달,야외광장,[공연]잭과 콩나무,2020-09-20,2020-09-20,14:00,15:00,무료,옥현도서관,울산광역시 남구청,052-226-2370,,8,무료,,,,http://www.ulsannamgu.go.kr/library,홈페이지 사전신청,N,울산광역시 남구 옥현로58번길 40,울산광역시 남구 무거동 475-1번지,35.5391361825,129.2648784731,2021-01-31,3700000
제70회 815방어진 축구대회,미포구장,"개회식, 축구경기, 폐회식 등",2020-08-15,2020-08-15,8:00,15:30,무료,울산동구,울산동구,052-209-3333,,,,,,,,,Y,울산광역시 동구 봉수로 27-90(화정동),울산광역시 동구 화정동 55-1 미포구장,35.49767945,129.410563,2021-01-26,3710000
1일 도서관 체험학습,울주도서관영유아실,도서관 체험활둥,2020-05-01,2020-05-29,10:30~11:30,null,무료,울주도서관,울주도서관,052-225-8130,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
문화가 있는 날,울산도서관,"각종 문화 공연 및 행사, 영화상영 등",2020-01-01,2020-12-31,14:00~16:00,null,무료,울산도서관,울산도서관,052-229-6905,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
영화상영,울산도서관 종합영상실,테마별 또는 온가족이 함께하는 영화 상영,2020-01-01,2020-12-31,14:00~16:00,null,무료,울산도서관,울산도서관,052-229-6905,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
[기획전시] 올해의 작가 기증작품전,상설전시장,미술,2020-02-21,2020-05-30,10:00~19:00,null,무료,문화예술회관,문화예술회관,052-226-8254,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
세계인의 날 테마 전시,"울산도서관 종합자료실, 어린이자료실",도서 전시,2020-05-01,2020-06-30,09:00~18:00,null,무료,울산도서관,울산도서관,052-229-6987,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
[기획전시] 문화예술회관 소장품전 (온라인 전시),문화예술회관 제1·2·3전시장,미술,2020-05-01,2020-05-03,10:00~19:00,null,무료,문화예술회관,문화예술회관,052-226-8254,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
독서퀴즈,중부도서관 영유아자료실,주제도서 읽고 문제풀기 정답자 추첨하여 시상,2020-05-01,2020-12-31,09:00~18:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
원화전시회,중부도서관2층 갤러리,원화 전시,2020-05-01,2020-12-31,09:00~18:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
별누리어린이독서회,중부도서관 독서문화실,초등 저학년 독서회,2020-05-01,2020-12-31,11:00~13:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
글나래중학생독서회,중부도서관 독서문화실,중학생 독서회,2020-05-01,2020-12-31,15:00~17:00,null,무료,울산중부도서관,울산중부도서관,052-210-6537,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
애니메이션으로 배우는 톡톡(Talk-Talk)영어,중부도서관 영유아자료실,영어그림책 읽어 주기,2020-05-01,2020-12-31,13:00~15:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
하하호호 언니 오빠와 함께 영어그림책 읽기,중부도서관 영유아자료실,영어그림책 읽어 주기,2020-05-01,2020-12-31,11:00~13:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
북도란,중부도서관 영유아자료실,"책 읽어주기, 색칠공부",2020-05-01,2020-12-31,13:00~16:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
은하수어린이독서회,중부도서관 독서문화실,초등 고학년 독서회,2020-05-01,2020-12-31,14:00~16:00,null,무료,울산중부도서관,울산중부도서관,052-210-6538,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
산울림고등학생독서회,중부도서관 독서문화실,고등학생 독서회,2020-05-01,2020-12-31,10:00~12:00,null,무료,울산중부도서관,울산중부도서관,052-210-6537,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
동화구연,중부도서관 영유아자료실,색동회 동화구연,2020-05-01,2020-12-31,10:30~11:00,null,무료,울산중부도서관,울산중부도서관,052-210-6537,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
북스타트,중부도서관어린이자료실,연령별 도서 배부,2020-05-01,2020-12-31,09:00~18:00,null,무료,울산중부도서관,울산중부도서관,052-210-6537,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
원화아트프린트 액자 전시,기적의도서관 자료실,[도서관에서 만난 해리] 원화 액자 전시,2020-05-01,2020-05-25,09:00~20:00,null,무료,기적의도서관,기적의도서관,052-241-7420,,,,,,,,, ,울산광역시 북구 이화5길 29-13,,35.6621625797,129.3365171247,2020-06-08,6310000
원화아트프린트 액자 전시,기적의도서관 자료실,[도서관에서 만난 해리] 원화 액자 전시,2020-05-01,2020-05-25,09:00~20:00,null,무료,기적의도서관,기적의도서관,052-241-7420,,,,,,,,, ,울산광역시 북구 이화5길 29-13,,35.6621625797,129.3365171247,2020-06-08,6310000
책 속 그림 전시회,울주도서관3층 갤러리,원화 액자 전시,2020-05-07,2020-05-22,09:00~18:00,null,무료,울주도서관,울주도서관,052-255-8130,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
"2020년 암각화박물관 작은전시<선사여인, 반구대에 피어나다>",암각화박물관 특별기획전시실 일부,선사시대 여인상 전시,2020-05-12,2020-08-30,00:00~00:00,null,무료,암각화박물관,암각화박물관,052-229-4792,,,,,,,,, ,울산광역시 울주군 두동면 반구대안길 254,,35.6080622168,129.1705560251,2020-06-08,6310000
초등학력인정 문자해득교육 프로그램,서부종합사회복지관,초등학력인정 문자해득프로그램 2기 3단계,2020-05-12,2020-12-31,09:30~11:30,null,무료,서부종합사회복지관,서부종합사회복지관,,,,,,,,,, ,울산광역시 울주군 언양읍 읍성로 169,,35.570339,129.125873,2020-06-08,6310000
커피 볶는 도서관,울주도서관 별관2층 글나래교실,산지별 커피 실습&핸드드립 소개,2020-05-12,2020-06-30,10:00~12:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
자녀와 소통하는 하브루타 독서법,울주도서관 별관2층 글나래교실,학부모(성인) 대상 하브루타 강좌,2020-05-13,2020-07-01,10:00~12:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
색연필로 봄을 그리는 보타니컬 아트,울주도서관 별관2층 글나래교실,색연필로 그리는 세밀화,2020-05-15,2020-07-03,14:00~16:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
어서와 조선은 처음이지?,울주도서관 별관3층 글나래교실,2020. 꿈다락 토요문화 학교,2020-05-16,2020-10-31,14:00~17:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
동화 속 쿠키&클레이,울주도서관 별관2층 글나래교실,쿠키&클레이 만들기,2020-05-16,2020-06-20,10:00~12:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
(책과 함께하는) 나도 유튜브 크리에이터,울주도서관 별관2층 글나래교실,스마트폰 활용 영상촬영법 소개 및 유튜브 활용,2020-05-16,2020-06-20,14:00~16:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
작은나라어린이독서회,울주도서관다목적실,작은나라어린이독서회,2020-05-16,2020-05-16,14:00~16:00,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
오케스트라 연주회,문화예술회관대공연장,클래식,2020-05-19,2020-05-19,16:00~17:30,null,무료,울산남구청,남구 문화체육과,052-226-5415,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
[대관공연] 구립교향악단 제71회 정기연주회,문화예술회관 대공연장,클래식,2020-05-19,2020-05-19,16:00~21:30,null,무료,문화예술회관,울산 남구 구립교향악단,052-226-5415,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
어린이 고고학,대곡박물관 관내외,체험학습,2020-05-19,2020-12-31,10:30~12:00,null,무료,대곡박물관,대곡박물관,052-229-4781,,,,,,,,, ,울산광역시 울주군 두동면 서하천전로 257,,35.6190980488,129.1691901645,2020-06-08,6310000
[대관전시] 울산대 조소 졸업작품전,문화예술회관 제4전시장,공예,2020-05-20,2020-05-25,10:00~19:00,null,무료,울산대학교,울산대 미술학부,,,,,,,,,, ,울산광역시 남구 대학로 93,,35.5418773464,129.2575820330,2020-06-08,6310000
사서와 함께 책읽기,울주도서관영유아실,사서가 선정한 그림책 읽어주기,2020-05-20,2020-05-20,11:00~11:30,null,무료,울주도서관,울주도서관,,,,,,,,,, ,울산광역시 울주군 언양읍 언양로 109,,35.5584368238,129.1377316898,2020-06-08,6310000
[대관공연] 전원경의 그림콘서트,문화예술회관 소공연장,콘서트,2020-05-21,2020-05-21,11:00~12:40,null,무료,문화예술회관,문화예술회관,052-275-9623,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
문화다양성주간 시민 간담회,문화공간 카바레볼테르(남구 신정동),시민·전문가 간담회,2020-05-21,2020-05-21,14:00~18:00,null,무료,울산문화재단,울산문화재단,052-259-7911,,,,,,,,, ,울산광역시 남구 중앙로 202,,35.5389297181,129.3128675469,2020-06-08,6310000
디딤돌독서회,중부도서관 독서문화실,성인 독서회,2020-05-21,2020-12-10,10:30~12:30,null,무료,울산중부도서관,울산중부도서관,052-210-6522,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
도심 내 전통시장 책수레 책나눔,중부도서관 독서문화실,시장상인들 대상으로 도서대출반납서비스,2020-05-21,2020-12-17,14:00~17:00,null,무료,울산중부도서관,울산중부도서관,052-210-6534,,,,,,,,, ,울산광역시 중구 시계탑거리 38,,35.5535951076,129.3215056326,2020-06-08,6310000
"[교향악단] 기획공연 「울산과 함께, 희망과 함께」",문화예술회관 대공연장,음악,2020-05-22,2020-05-22,20:00~21:00,null,유료,시립예술단,시립예술단,052-275-9623,,,,,,,,, ,울산광역시 남구 번영로 200(달동),,35.5428985238,129.3270711177,2020-06-08,6310000
문화다양성주간 캠페인,성남동 젊음의 거리 및 삼산동,캠페인,2020-05-22,2020-05-23,14:00~18:00,null,무료,울산문화재단,울산문화재단,052-259-7911,,,,,,,,, ,울산광역시 남구 중앙로 202,,35.5389297181,129.3128675469,2020-06-08,6310000
가족과 함께 떠나는 동화 여행,"울산도서관 2층 문화교실2, 4",재미있는 동화구연과 다양한 활동을 통해 유아의 발달을 도움,2020-05-23,2020-08-22,13:30~15:40,null,무료,울산도서관,울산도서관,052-229-6906,,,,,,,,, ,울산광역시 남구 꽃대나리로 140,,35.5325433781,129.3445634021,2020-06-08,6310000
